practice_code,requirement_code,requirement_level
OPEN_FIELD,BASIC_TOOLS,REQUIRED
OPEN_FIELD,SEED_SUPPLY,REQUIRED
OPEN_FIELD,SOIL_TESTING,RECOMMENDED
OPEN_FIELD,IRRIGATION_PUMP,OPTIONAL
OPEN_FIELD,DRIP_IRRIGATION,OPTIONAL
OPEN_FIELD,STORAGE_SPACE,OPTIONAL
OPEN_FIELD,TRAFFICABLE_FARM_ROAD,RECOMMENDED

OPEN_FIELD_VEG,BASIC_TOOLS,REQUIRED
OPEN_FIELD_VEG,QUALITY_SEEDLING_SUPPLY,REQUIRED
OPEN_FIELD_VEG,IRRIGATION_PUMP,REQUIRED
OPEN_FIELD_VEG,DRIP_IRRIGATION,RECOMMENDED
OPEN_FIELD_VEG,MULCHING_PLASTIC,RECOMMENDED
OPEN_FIELD_VEG,SPRAYER_EQUIPMENT,REQUIRED
OPEN_FIELD_VEG,INSECT_NETS,OPTIONAL
OPEN_FIELD_VEG,PACKING_CRATES,RECOMMENDED
OPEN_FIELD_VEG,ON_FARM_GRADING_AREA,RECOMMENDED
OPEN_FIELD_VEG,COLD_STORAGE_ACCESS,OPTIONAL

RAIN_FED,BASIC_TOOLS,REQUIRED
RAIN_FED,SEED_SUPPLY,REQUIRED
RAIN_FED,SOIL_MOISTURE_CONSERVATION,REQUIRED
RAIN_FED,FARM_POND,OPTIONAL
RAIN_FED,WATER_HARVESTING_STRUCTURES,RECOMMENDED
RAIN_FED,DROUGHT_TOLERANT_VARIETIES,REQUIRED
RAIN_FED,MULCHING_OR_RESIDUE,RECOMMENDED
RAIN_FED,CONTOUR_BUNDING,OPTIONAL

DRIP_INTENSIVE,IRRIGATION_SOURCE,REQUIRED
DRIP_INTENSIVE,DRIP_IRRIGATION,REQUIRED
DRIP_INTENSIVE,FERTIGATION_UNIT,RECOMMENDED
DRIP_INTENSIVE,WATER_FILTER_UNIT,REQUIRED
DRIP_INTENSIVE,IRRIGATION_PUMP,REQUIRED
DRIP_INTENSIVE,WATER_STORAGE_TANK,RECOMMENDED
DRIP_INTENSIVE,SOIL_TESTING,RECOMMENDED
DRIP_INTENSIVE,SPRAYER_EQUIPMENT,RECOMMENDED

NET_HOUSE,SHADE_NET_STRUCTURE,REQUIRED
NET_HOUSE,IRRIGATION_SOURCE,REQUIRED
NET_HOUSE,DRIP_IRRIGATION,RECOMMENDED
NET_HOUSE,SPRAYER_EQUIPMENT,REQUIRED
NET_HOUSE,INSECT_NETS,RECOMMENDED
NET_HOUSE,FERTIGATION_UNIT,OPTIONAL
NET_HOUSE,RAISED_BEDS,RECOMMENDED
NET_HOUSE,PACKING_CRATES,RECOMMENDED

POLYHOUSE,POLYHOUSE_STRUCTURE,REQUIRED
POLYHOUSE,IRRIGATION_SOURCE,REQUIRED
POLYHOUSE,DRIP_IRRIGATION,REQUIRED
POLYHOUSE,FERTIGATION_UNIT,REQUIRED
POLYHOUSE,WATER_FILTER_UNIT,REQUIRED
POLYHOUSE,CLIMATE_CONTROL_VENTILATION,REQUIRED
POLYHOUSE,INSECT_NETS,REQUIRED
POLYHOUSE,NURSERY_TRAYS,RECOMMENDED
POLYHOUSE,COCOPEAT_OR_MEDIA,RECOMMENDED
POLYHOUSE,COLD_STORAGE_ACCESS,OPTIONAL
POLYHOUSE,POWER_BACKUP,RECOMMENDED

HYDROPONICS,GROW_RACKS_OR_CHANNELS,REQUIRED
HYDROPONICS,WATER_RECIRCULATION_SYSTEM,REQUIRED
HYDROPONICS,NUTRIENT_TANKS,REQUIRED
HYDROPONICS,PH_EC_METER,REQUIRED
HYDROPONICS,WATER_FILTER_UNIT,REQUIRED
HYDROPONICS,POWER_BACKUP,RECOMMENDED
HYDROPONICS,POLYHOUSE_OR_SHADE_STRUCTURE,REQUIRED
HYDROPONICS,CLIMATE_CONTROL_VENTILATION,RECOMMENDED
HYDROPONICS,COLD_STORAGE_ACCESS,OPTIONAL
HYDROPONICS,SANITATION_PROTOCOLS,REQUIRED

ORCHARD,PLANTING_MATERIAL,REQUIRED
ORCHARD,FENCING,RECOMMENDED
ORCHARD,DRIP_IRRIGATION,RECOMMENDED
ORCHARD,IRRIGATION_PUMP,OPTIONAL
ORCHARD,SOIL_TESTING,RECOMMENDED
ORCHARD,PRUNING_TOOLS,REQUIRED
ORCHARD,STAKING_SUPPORT,OPTIONAL
ORCHARD,ORCHARD_PROTECTION_NETTING,OPTIONAL
ORCHARD,FERTIGATION_UNIT,OPTIONAL
ORCHARD,STORAGE_SPACE,RECOMMENDED

ORCHARD_INTERCROP,PLANTING_MATERIAL,REQUIRED
ORCHARD_INTERCROP,FENCING,RECOMMENDED
ORCHARD_INTERCROP,DRIP_IRRIGATION,RECOMMENDED
ORCHARD_INTERCROP,SOIL_TESTING,RECOMMENDED
ORCHARD_INTERCROP,PRUNING_TOOLS,REQUIRED
ORCHARD_INTERCROP,INTERCROP_SEED_SUPPLY,REQUIRED
ORCHARD_INTERCROP,SPRAYER_EQUIPMENT,RECOMMENDED
ORCHARD_INTERCROP,PACKING_CRATES,RECOMMENDED

AGROFORESTRY,TREE_SAPLING_SUPPLY,REQUIRED
AGROFORESTRY,FENCING,RECOMMENDED
AGROFORESTRY,SOIL_CONSERVATION_STRUCTURES,RECOMMENDED
AGROFORESTRY,WATER_HARVESTING_STRUCTURES,RECOMMENDED
AGROFORESTRY,DRIP_IRRIGATION,OPTIONAL
AGROFORESTRY,PRUNING_TOOLS,REQUIRED

INTEGRATED,COMPOSTING_UNIT,RECOMMENDED
INTEGRATED,FARM_POND,RECOMMENDED
INTEGRATED,IRRIGATION_SOURCE,RECOMMENDED
INTEGRATED,ANIMAL_SHED,OPTIONAL
INTEGRATED,FEED_STORAGE,OPTIONAL
INTEGRATED,VERMI_COMPOST_UNIT,OPTIONAL
INTEGRATED,BIOGAS_UNIT,OPTIONAL
INTEGRATED,BASIC_TOOLS,REQUIRED
INTEGRATED,SOIL_TESTING,RECOMMENDED
INTEGRATED,WASTE_MANAGEMENT,RECOMMENDED

DAIRY_FODDER,ANIMAL_SHED,REQUIRED
DAIRY_FODDER,MILKING_EQUIPMENT,REQUIRED
DAIRY_FODDER,FEED_STORAGE,REQUIRED
DAIRY_FODDER,FODDER_SEED_SUPPLY,REQUIRED
DAIRY_FODDER,CHOPPER_CUTTER,RECOMMENDED
DAIRY_FODDER,WATER_TROUGH_SYSTEM,REQUIRED
DAIRY_FODDER,VETERINARY_ACCESS,REQUIRED
DAIRY_FODDER,MANURE_MANAGEMENT,RECOMMENDED
DAIRY_FODDER,BIOGAS_UNIT,OPTIONAL

POULTRY_BACKYARD,POULTRY_SHED,REQUIRED
POULTRY_BACKYARD,FEED_STORAGE,REQUIRED
POULTRY_BACKYARD,BIOSECURITY_MEASURES,REQUIRED
POULTRY_BACKYARD,VACCINATION_PLAN,REQUIRED
POULTRY_BACKYARD,CLEAN_WATER_SUPPLY,REQUIRED
POULTRY_BACKYARD,WASTE_MANAGEMENT,RECOMMENDED
POULTRY_BACKYARD,LOCAL_MARKET_LINKAGE,RECOMMENDED

FISH_POND,POND_EXCAVATION,REQUIRED
FISH_POND,WATER_SOURCE,REQUIRED
FISH_POND,AERATION_SYSTEM,OPTIONAL
FISH_POND,FEED_STORAGE,REQUIRED
FISH_POND,FINGERLING_SUPPLY,REQUIRED
FISH_POND,NETS_AND_HARVEST_GEAR,REQUIRED
FISH_POND,WATER_QUALITY_TEST_KIT,RECOMMENDED
FISH_POND,FENCING,OPTIONAL

NURSERY,SHADE_NET_STRUCTURE,REQUIRED
NURSERY,NURSERY_TRAYS,REQUIRED
NURSERY,COCOPEAT_OR_MEDIA,REQUIRED
NURSERY,IRRIGATION_SOURCE,REQUIRED
NURSERY,DRIP_IRRIGATION,OPTIONAL
NURSERY,WATER_STORAGE_TANK,RECOMMENDED
NURSERY,PLANT_PROTECTION_SPRAYER,REQUIRED
NURSERY,GRADING_PACKING_AREA,RECOMMENDED

MUSHROOM,SHADE_ROOM,REQUIRED
MUSHROOM,HUMIDITY_CONTROL,REQUIRED
MUSHROOM,SPAWN_SUPPLY,REQUIRED
MUSHROOM,GROW_BAGS_OR_TRAYS,REQUIRED
MUSHROOM,CLEAN_WATER_SUPPLY,REQUIRED
MUSHROOM,SANITATION_PROTOCOLS,REQUIRED
MUSHROOM,TEMPERATURE_CONTROL,OPTIONAL
MUSHROOM,LOCAL_BUYER_LINKAGE,RECOMMENDED

BEEKEEPING,BEE_BOXES,REQUIRED
BEEKEEPING,QUEEN_AND_COLONY_SOURCE,REQUIRED
BEEKEEPING,PROTECTIVE_GEAR,REQUIRED
BEEKEEPING,HONEY_EXTRACTOR,RECOMMENDED
BEEKEEPING,APIARY_SITE,REQUIRED
BEEKEEPING,PEST_CONTROL_PROTOCOLS,RECOMMENDED
BEEKEEPING,NEARBY_FORAGE_ZONE,REQUIRED